k,final_inertia,mse,unique_colours,silhouette_score,iterations,runtime_seconds
4,508620906.1730764,185.61289375360423,4,0.5919428732979484,14,6.4722449999826495
8,128457123.16359827,46.87832934957079,8,0.5811376112520628,20,17.788989200023934
16,41173313.95887607,15.025528554919624,16,0.481737669504072,20,27.932702400023118
32,18813063.98184498,6.865520476371633,32,0.4109167119110425,20,52.23685840002145
